,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,Total_Income,Income_Level,Prop_Area_Semiurban,Prop_Area_Urban
0,LP001002,1.0,0,0,1,0,4.844187086458591,360.0,1.0,1.0,8.674025985443025,1,0,1
1,LP001003,1.0,1,1,1,0,4.852030263919617,360.0,1.0,0.0,8.714567550836485,1,0,0
2,LP001005,1.0,1,0,1,1,4.189654742026425,360.0,1.0,1.0,8.006367567650246,1,0,1
3,LP001006,1.0,1,0,0,0,4.787491742782046,360.0,1.0,1.0,8.50532301884575,1,0,1
4,LP001008,1.0,0,0,1,0,4.948759890378168,360.0,1.0,1.0,8.699514748210191,1,0,1
5,LP001011,1.0,1,2,1,1,5.58724865840025,360.0,1.0,1.0,9.170871628065816,1,0,1
6,LP001013,1.0,1,0,0,0,4.553876891600541,360.0,1.0,1.0,8.255568653283746,1,0,1
7,LP001014,1.0,1,3,1,0,5.062595033026967,360.0,0.0,0.0,8.61974977974133,1,1,0
8,LP001018,1.0,1,2,1,0,5.123963979403259,360.0,1.0,1.0,8.61830469278465,1,0,1
9,LP001020,1.0,1,1,1,0,5.8,360.0,1.0,0.0,9.8,3,1,0
10,LP001024,1.0,1,2,1,0,4.248495242049359,360.0,1.0,1.0,8.268731832117737,1,0,1
11,LP001027,1.0,1,2,1,0,4.6913478822291435,360.0,1.0,1.0,8.375629627094451,1,0,1
12,LP001028,1.0,1,2,1,0,5.298317366548036,360.0,1.0,1.0,9.321792297270326,2,0,1
13,LP001029,1.0,0,0,1,0,4.736198448394496,360.0,1.0,0.0,8.453827315794417,1,0,0
14,LP001030,1.0,1,2,1,0,3.8,120.0,1.0,1.0,7.776954403322442,1,0,1
15,LP001032,1.0,0,0,1,0,4.8283137373023015,360.0,1.0,1.0,8.507142855562735,1,0,1
16,LP001034,1.0,0,1,0,0,4.605170185988092,240.0,0.7,1.0,8.18757739559151,1,0,1
17,LP001036,0.0,0,0,1,0,4.330733340286331,360.0,0.0,0.0,8.163371316459912,1,0,1
18,LP001038,1.0,1,0,0,0,4.890349128221754,360.0,1.0,0.0,8.494333897270154,1,0,0
19,LP001041,1.0,1,0,1,0,4.74493212836325,360.0,1.0,1.0,8.716044050161402,1,0,1
20,LP001043,1.0,1,0,0,0,4.6443908991413725,360.0,0.0,0.0,8.943767262734637,1,0,1
21,LP001046,1.0,1,1,1,0,5.752572638825633,360.0,1.0,1.0,9.357034751126987,2,0,1
22,LP001047,1.0,1,0,0,0,4.7535901911063645,360.0,0.0,0.0,8.414274137408396,1,1,0
23,LP001050,-1.0,1,2,0,0,4.718498871295094,360.0,0.0,0.0,8.572060092857077,1,0,0
24,LP001052,1.0,1,1,1,0,5.017279836814924,360.0,0.7,0.0,8.801168401936692,1,1,0
25,LP001066,1.0,1,0,1,1,5.25227342804663,360.0,1.0,1.0,9.165343006045447,1,1,0
26,LP001068,1.0,1,0,1,0,4.804021044733257,360.0,1.0,1.0,8.527539483470381,1,1,0
27,LP001073,1.0,1,2,0,0,4.700480365792417,360.0,1.0,1.0,8.569026340056254,1,0,1
28,LP001086,1.0,0,0,0,0,3.8,360.0,1.0,0.0,7.5,1,0,1
29,LP001087,0.0,0,2,1,0,4.787491742782046,360.0,1.0,1.0,8.671286726753637,1,1,0
30,LP001091,1.0,1,1,1,0,5.303304908059076,360.0,0.7,0.0,8.927314111060596,1,0,1
31,LP001095,1.0,0,0,1,0,4.30406509320417,360.0,1.0,0.0,8.06054004653864,1,0,1
32,LP001097,1.0,0,1,1,1,4.663439094112067,360.0,1.0,0.0,8.453614209773367,1,0,0
33,LP001098,1.0,1,0,1,0,4.736198448394496,360.0,1.0,1.0,8.550047528287184,1,1,0
34,LP001100,1.0,0,3,1,0,5.768320995793772,360.0,1.0,0.0,9.648595302907339,2,0,0
35,LP001106,1.0,1,0,1,0,4.844187086458591,360.0,1.0,1.0,8.376090350438238,1,0,1
36,LP001109,1.0,1,0,1,0,4.605170185988092,360.0,0.0,0.0,8.057694194815587,1,0,1
37,LP001112,0.0,1,0,1,0,4.969813299576001,360.0,1.0,1.0,8.542080906924017,1,1,0
38,LP001114,1.0,0,0,1,0,5.214935757608986,360.0,1.0,1.0,9.339261152043022,2,0,1
39,LP001116,1.0,0,0,0,0,4.700480365792417,360.0,1.0,1.0,8.59711281459211,1,1,0
40,LP001119,1.0,0,0,1,0,4.382026634673881,360.0,1.0,0.0,8.1886891244442,1,0,1
41,LP001120,1.0,0,0,1,0,3.8501476017100584,360.0,1.0,1.0,8.0106915391303,1,0,1
42,LP001123,1.0,1,0,1,0,4.31748811353631,360.0,0.7,1.0,7.783224016336037,1,0,1
43,LP001131,1.0,1,0,1,0,4.897839799950911,360.0,1.0,1.0,8.744647438317532,1,1,0
44,LP001136,1.0,1,0,0,1,4.564348191467836,360.0,1.0,1.0,8.454253391642363,1,0,1
45,LP001137,0.0,0,0,1,0,4.477336814478207,360.0,1.0,1.0,8.134467570277563,1,0,1
46,LP001138,1.0,1,1,1,0,3.8,360.0,1.0,1.0,8.639233817325263,1,0,1
47,LP001144,1.0,1,0,1,0,4.969813299576001,360.0,1.0,1.0,8.669227347271736,1,0,1
48,LP001146,0.0,1,0,1,0,4.787491742782046,360.0,0.0,0.0,8.713582005421628,1,0,1
49,LP001151,0.0,0,0,1,0,4.969813299576001,360.0,1.0,1.0,8.744328763999984,1,1,0
50,LP001155,0.0,1,0,0,0,4.605170185988092,360.0,1.0,1.0,8.18088094199639,1,1,0
51,LP001157,0.0,0,0,1,0,4.787491742782046,360.0,1.0,1.0,8.034631032923107,1,1,0
52,LP001164,0.0,0,0,1,0,4.718498871295094,360.0,1.0,0.0,8.349957272040324,1,1,0
53,LP001179,1.0,1,2,1,0,4.897839799950911,360.0,1.0,0.0,8.437283808187935,1,0,1
54,LP001186,0.0,1,1,1,1,5.655991810819852,360.0,0.0,0.0,9.350102314351341,2,0,1
55,LP001194,1.0,1,2,1,0,4.574710978503383,360.0,1.0,1.0,8.262300941787448,1,1,0
56,LP001195,1.0,1,0,1,0,4.564348191467836,360.0,1.0,1.0,8.222285073872717,1,1,0
57,LP001197,1.0,1,0,1,0,4.90527477843843,360.0,1.0,0.0,8.624431942085836,1,0,0
58,LP001198,1.0,1,1,1,0,5.19295685089021,360.0,1.0,1.0,9.242807562113684,2,0,1
59,LP001199,1.0,1,2,0,0,4.969813299576001,360.0,1.0,1.0,8.734881892047483,1,0,1
60,LP001205,1.0,1,0,1,0,4.787491742782046,360.0,1.0,1.0,8.74766979009724,1,0,1
61,LP001206,1.0,1,3,1,0,4.59511985013459,360.0,1.0,1.0,8.015987811027237,1,0,1
62,LP001207,1.0,1,0,0,1,5.10594547390058,180.0,0.0,0.0,8.709134991587183,1,0,0
63,LP001213,1.0,1,1,1,0,4.844187086458591,360.0,0.0,0.0,8.506132244056813,1,0,0
64,LP001222,0.0,0,0,1,0,4.7535901911063645,360.0,0.0,0.0,8.334711621820917,1,1,0
65,LP001225,1.0,1,0,1,0,5.552959584921617,360.0,1.0,0.0,9.241935933565934,2,1,0
66,LP001228,1.0,0,0,0,0,4.836281906951478,180.0,0.0,0.0,8.604104563405533,1,0,1
67,LP001233,1.0,1,1,1,0,5.7430031878094825,360.0,1.0,1.0,9.28266103355581,2,0,1
68,LP001238,1.0,1,3,0,1,4.8283137373023015,60.0,1.0,1.0,8.867850063029406,1,0,1
69,LP001241,0.0,0,0,1,0,4.912654885736052,360.0,0.0,0.0,8.366370301681654,1,1,0
70,LP001243,1.0,1,0,1,0,5.147494476813453,360.0,1.0,1.0,8.744169388750624,1,0,1
71,LP001245,1.0,1,2,0,1,4.574710978503383,360.0,1.0,1.0,8.229511118964457,1,1,0
72,LP001248,1.0,0,0,1,0,4.394449154672439,300.0,1.0,1.0,8.160518247477505,1,1,0
73,LP001250,1.0,1,3,0,0,4.553876891600541,360.0,0.0,0.0,8.46695197497949,1,1,0
74,LP001253,1.0,1,3,1,1,5.231108616854587,360.0,1.0,1.0,8.859363449152088,1,1,0
75,LP001255,1.0,0,0,1,0,4.727387818712341,480.0,1.0,0.0,8.229511118964457,1,0,1
76,LP001256,1.0,0,0,1,0,5.170483995038151,360.0,1.0,0.0,9.047821442478408,1,0,1
77,LP001259,1.0,1,1,1,1,4.700480365792417,360.0,1.0,0.0,8.299534570332597,1,0,1
78,LP001263,1.0,1,3,1,0,5.19295685089021,300.0,0.0,0.0,8.877242435993919,1,1,0
79,LP001264,1.0,1,3,0,1,4.867534450455582,360.0,0.7,1.0,8.612321536507814,1,1,0
80,LP001265,0.0,0,0,1,0,4.709530201312334,360.0,1.0,1.0,8.254788926148725,1,1,0
81,LP001266,1.0,1,1,1,1,4.844187086458591,360.0,1.0,1.0,7.781138509845015,1,1,0
82,LP001267,0.0,1,2,1,0,5.117993812416755,360.0,1.0,0.0,8.089175678837561,1,0,1
83,LP001273,1.0,1,0,1,0,5.579729825986222,360.0,0.7,0.0,9.017968479328726,1,1,0
84,LP001275,1.0,1,1,1,0,3.912023005428146,240.0,1.0,1.0,8.291045131081729,1,0,1
85,LP001279,1.0,0,0,1,0,4.912654885736052,360.0,1.0,1.0,8.496378051702317,1,1,0
86,LP001280,1.0,1,2,0,0,4.59511985013459,360.0,0.7,1.0,8.581669210600602,1,1,0
87,LP001282,1.0,1,0,1,0,4.6443908991413725,360.0,1.0,1.0,8.43771698991444,1,1,0
88,LP001289,1.0,0,0,1,0,5.3471075307174685,360.0,1.0,1.0,9.055556158175316,1,0,1
89,LP001310,1.0,1,0,1,0,5.1647859739235145,360.0,1.0,1.0,9.196444266784072,1,1,0
90,LP001316,1.0,1,0,1,0,4.875197323201151,360.0,1.0,1.0,8.675563527387679,1,1,0
91,LP001318,1.0,1,2,1,0,5.236441962829949,180.0,1.0,1.0,9.384629757072872,2,1,0
92,LP001319,1.0,1,2,0,0,4.394449154672439,360.0,1.0,1.0,8.535622326884605,1,0,1
93,LP001322,1.0,0,0,1,0,4.804021044733257,360.0,1.0,1.0,8.326758814511733,1,1,0
94,LP001325,1.0,0,0,0,0,3.8,120.0,1.0,1.0,8.194229304819817,1,1,0
95,LP001326,1.0,0,0,1,0,4.844187086458591,360.0,0.7,0.0,8.822027322685583,1,0,1
96,LP001327,0.0,1,0,1,0,4.919980925828125,360.0,1.0,1.0,8.47345026846832,1,1,0
97,LP001333,1.0,1,0,1,0,3.912023005428146,360.0,1.0,1.0,7.9976631270201,1,1,0
98,LP001334,1.0,1,0,0,0,4.74493212836325,180.0,1.0,1.0,8.339978571990427,1,1,0
99,LP001343,1.0,1,0,1,0,4.875197323201151,360.0,1.0,1.0,8.575462099540212,1,1,0
100,LP001345,1.0,1,2,0,0,4.890349128221754,180.0,1.0,1.0,8.929435283803425,1,0,1
101,LP001349,1.0,0,0,1,0,5.017279836814924,360.0,1.0,1.0,9.065198986306513,1,1,0
102,LP001350,1.0,1,0,1,0,5.465729477297891,360.0,1.0,1.0,9.521494800613105,2,0,1
103,LP001356,1.0,1,0,1,0,4.844187086458591,360.0,1.0,1.0,9.016148642611741,1,1,0
104,LP001357,1.0,1,0,1,0,5.075173815233827,360.0,1.0,1.0,8.42726848388825,1,0,1
105,LP001367,1.0,1,1,1,0,4.605170185988092,360.0,1.0,1.0,8.31434234336979,1,0,1
106,LP001369,1.0,1,2,1,0,5.41610040220442,360.0,1.0,1.0,9.436918020024674,2,0,1
107,LP001370,1.0,0,0,0,0,4.787491742782046,360.0,1.0,0.0,8.9001399880938,1,0,0
108,LP001379,1.0,1,2,1,0,5.375278407684165,360.0,0.0,0.0,8.909235279192261,1,0,1
109,LP001384,1.0,1,3,0,0,4.543294782270004,480.0,1.0,1.0,7.946263643580541,1,1,0
110,LP001385,1.0,0,0,1,0,4.912654885736052,360.0,1.0,1.0,8.578476419833136,1,0,1
111,LP001387,0.0,1,0,1,0,4.9344739331306915,360.0,1.0,1.0,8.568266461600238,1,1,0
112,LP001391,1.0,1,0,0,0,5.0238805208462765,360.0,0.0,0.0,8.94715577112479,1,0,0
113,LP001392,0.0,0,1,1,1,4.844187086458591,360.0,1.0,1.0,8.916103530553727,1,1,0
114,LP001398,1.0,0,0,1,0,4.770684624465665,360.0,1.0,1.0,8.527143522269405,1,1,0
115,LP001401,1.0,1,1,1,0,5.220355825078324,180.0,1.0,1.0,9.587611745713565,2,0,0
116,LP001404,0.0,1,0,1,0,5.0369526024136295,360.0,1.0,1.0,8.60337088765729,1,1,0
117,LP001405,1.0,1,1,1,0,4.442651256490317,360.0,0.7,1.0,8.192016914536875,1,0,1
118,LP001421,1.0,1,0,1,0,5.1647859739235145,360.0,1.0,0.0,8.950273466557375,1,0,0
119,LP001422,0.0,0,0,1,0,5.556828061699537,360.0,1.0,1.0,9.250330020192342,2,0,1
120,LP001426,1.0,1,0,1,0,5.19295685089021,360.0,1.0,1.0,9.0280988119824,1,0,0
121,LP001430,0.0,0,0,1,0,3.8,360.0,1.0,1.0,8.334711621820917,1,1,0
122,LP001431,0.0,0,0,1,0,4.919980925828125,360.0,0.0,1.0,9.316230747233615,2,1,0
123,LP001432,1.0,1,2,1,0,4.394449154672439,360.0,1.0,1.0,7.9919305198524775,1,1,0
124,LP001439,1.0,1,0,0,0,5.267858159063328,360.0,1.0,1.0,8.750524669117937,1,0,0
125,LP001443,0.0,0,0,1,0,4.532599493153256,360.0,0.7,1.0,8.213923595622743,1,0,0
126,LP001448,-1.0,1,3,1,0,5.8,360.0,1.0,1.0,9.8,3,0,0
127,LP001449,1.0,0,0,1,0,4.844187086458591,360.0,1.0,1.0,8.61341204915678,1,0,0
128,LP001451,1.0,1,1,1,1,5.075173815233827,180.0,0.0,0.0,9.572410734431823,2,0,1
129,LP001465,1.0,1,0,1,0,5.204006687076795,360.0,0.7,0.0,9.065198986306513,1,0,0
130,LP001469,1.0,0,0,1,1,5.8,480.0,0.7,1.0,9.8,3,0,1
131,LP001473,1.0,0,0,1,0,4.30406509320417,360.0,1.0,1.0,8.279697133877628,1,0,1
132,LP001478,1.0,0,0,1,0,4.248495242049359,360.0,1.0,1.0,7.907651594711089,1,1,0
133,LP001482,1.0,1,0,1,1,3.8,120.0,1.0,1.0,8.148734808937169,1,1,0
134,LP001487,1.0,0,0,1,0,4.624972813284271,360.0,1.0,1.0,8.49596955496461,1,1,0
135,LP001488,1.0,1,3,1,0,5.66988092298052,360.0,1.0,0.0,9.371608519572305,2,1,0
136,LP001489,0.0,1,0,1,0,4.430816798843313,360.0,1.0,0.0,8.430109084509125,1,0,0
137,LP001491,1.0,1,2,1,1,4.477336814478207,360.0,1.0,1.0,8.827028068509152,1,0,1
138,LP001492,1.0,0,0,1,0,5.488937726156687,360.0,0.0,0.0,9.61573881119536,2,1,0
139,LP001493,1.0,1,2,0,0,4.859812404361672,360.0,1.0,0.0,8.635864721133736,1,0,0
140,LP001497,1.0,1,2,1,0,5.220355825078324,360.0,1.0,0.0,8.871365005136852,1,0,0
141,LP001498,1.0,0,0,1,0,5.123963979403259,360.0,1.0,1.0,8.597297435657898,1,0,1
142,LP001504,1.0,0,0,1,1,5.1647859739235145,180.0,1.0,1.0,8.846496938558838,1,1,0
143,LP001507,1.0,1,0,1,0,4.804021044733257,360.0,1.0,1.0,8.462103225098277,1,1,0
144,LP001508,1.0,1,2,1,0,5.231108616854587,180.0,1.0,1.0,9.372204086867741,2,0,1
145,LP001514,0.0,1,0,1,0,4.605170185988092,360.0,1.0,1.0,8.827028068509152,1,1,0
146,LP001516,0.0,1,2,1,0,4.248495242049359,360.0,1.0,1.0,9.60683200528524,2,0,1
147,LP001518,1.0,1,1,1,0,3.8,360.0,1.0,1.0,7.993957547573565,1,0,1
148,LP001519,0.0,0,0,1,0,5.41610040220442,360.0,1.0,0.0,9.364433907313582,2,0,0
149,LP001520,1.0,1,0,1,0,4.8283137373023015,360.0,1.0,1.0,8.646465527120377,1,1,0
150,LP001528,1.0,0,0,1,0,4.770684624465665,360.0,0.0,0.0,8.744647438317532,1,0,0
151,LP001529,1.0,1,0,1,1,5.0238805208462765,360.0,1.0,1.0,8.752581469146884,1,0,0
152,LP001531,1.0,0,0,1,0,5.497168225293202,360.0,1.0,0.0,9.123256265069069,1,0,1
153,LP001532,1.0,1,2,0,0,4.727387818712341,360.0,1.0,0.0,7.732369222284388,1,0,0
154,LP001535,1.0,0,0,1,0,3.912023005428146,360.0,1.0,1.0,8.087640287778983,1,0,1
155,LP001536,1.0,1,3,1,0,5.8,180.0,0.0,1.0,9.8,4,1,0
156,LP001541,1.0,1,1,1,0,5.075173815233827,360.0,0.7,1.0,8.699514748210191,1,0,0
157,LP001543,1.0,1,1,1,0,5.231108616854587,360.0,1.0,1.0,9.16303909885817,1,0,1
158,LP001546,1.0,0,0,1,0,4.787491742782046,360.0,1.0,1.0,8.529714471969909,1,0,0
159,LP001552,1.0,1,0,1,0,5.541263545158426,360.0,1.0,1.0,9.23092700558457,2,1,0
160,LP001560,1.0,1,0,0,0,4.584967478670572,360.0,1.0,1.0,7.973844375944687,1,1,0
161,LP001562,1.0,1,0,1,0,5.616771097666572,360.0,1.0,0.0,8.978786553302003,1,0,1
162,LP001565,1.0,1,1,1,0,4.795790545596741,360.0,0.0,0.0,8.382289428951436,1,1,0
163,LP001570,1.0,1,2,1,0,5.062595033026967,360.0,1.0,1.0,8.633018756921828,1,0,0
164,LP001572,1.0,1,0,1,0,4.31748811353631,180.0,1.0,1.0,9.140239744296693,1,0,1
165,LP001574,1.0,1,0,1,0,5.204006687076795,360.0,1.0,1.0,8.835355971121606,1,0,0
166,LP001577,0.0,1,0,1,0,4.718498871295094,360.0,1.0,0.0,8.430109084509125,1,0,0
167,LP001578,1.0,1,0,1,0,4.859812404361672,360.0,1.0,1.0,8.660773919893762,1,0,0
168,LP001579,1.0,0,0,1,0,4.143134726391533,480.0,0.0,0.0,7.71289096149013,1,1,0
169,LP001580,1.0,1,2,1,0,5.298317366548036,360.0,1.0,1.0,8.987196820661973,1,1,0
170,LP001581,1.0,1,0,0,0,4.553876891600541,360.0,1.0,1.0,8.185628891147607,1,0,0
171,LP001585,-1.0,1,3,1,0,5.8,300.0,1.0,1.0,9.8,4,0,1
172,LP001586,1.0,1,3,0,0,4.394449154672439,180.0,1.0,0.0,8.166784289056151,1,0,0
173,LP001594,1.0,1,0,1,0,5.231108616854587,360.0,1.0,1.0,9.335474102732949,2,1,0
174,LP001603,1.0,1,0,0,1,4.465908118654584,360.0,1.0,0.0,8.533066540572527,1,1,0
175,LP001606,1.0,1,0,1,0,4.7535901911063645,360.0,1.0,1.0,8.605387202152153,1,0,0
176,LP001608,1.0,1,2,1,0,4.61512051684126,360.0,1.0,1.0,8.20631072579402,1,0,0
177,LP001610,1.0,1,3,1,0,5.8,360.0,0.0,0.0,9.730086093116732,2,1,0
178,LP001616,1.0,1,1,1,0,4.7535901911063645,360.0,1.0,1.0,8.229511118964457,1,1,0
179,LP001630,1.0,0,0,0,0,4.624972813284271,480.0,0.0,0.0,8.238536930171769,1,0,1
180,LP001633,1.0,1,1,1,0,5.19295685089021,360.0,0.0,0.0,9.521494800613105,2,0,1
181,LP001634,1.0,0,0,1,0,4.204692619390966,360.0,0.7,0.0,8.850660919017152,1,0,0
182,LP001636,1.0,1,0,1,0,4.290459441148391,180.0,1.0,1.0,8.433811582477187,1,1,0
183,LP001637,1.0,1,1,1,0,5.560681631015528,360.0,1.0,0.0,9.8,4,1,0
184,LP001639,0.0,1,0,1,0,4.68213122712422,360.0,1.0,1.0,8.195609567288775,1,1,0
185,LP001640,1.0,1,0,1,1,4.787491742782046,360.0,1.0,1.0,9.8,4,1,0
186,LP001641,1.0,1,1,1,1,4.189654742026425,300.0,0.0,0.0,7.686162303492906,1,0,0
187,LP001643,1.0,1,0,1,0,4.060443010546419,360.0,0.7,1.0,8.416488487294606,1,0,0
188,LP001644,-1.0,1,0,1,1,5.123963979403259,360.0,1.0,1.0,8.694502206386648,1,0,0
189,LP001647,1.0,1,0,1,0,5.236441962829949,180.0,1.0,1.0,9.140775908590273,1,0,0
190,LP001653,1.0,0,0,0,0,3.871201010907891,360.0,1.0,1.0,8.493924564476883,1,0,0
191,LP001656,1.0,0,0,1,0,5.099866427824199,360.0,1.0,0.0,9.392661928770137,2,1,0
192,LP001657,1.0,1,0,0,0,5.075173815233827,360.0,1.0,0.0,8.704999678440762,1,0,1
193,LP001658,1.0,0,0,1,0,4.330733340286331,360.0,1.0,1.0,8.257904193465674,1,1,0
194,LP001664,1.0,0,0,1,0,4.787491742782046,360.0,1.0,1.0,8.340694647925071,1,0,0
195,LP001665,1.0,1,1,1,0,5.135798437050262,360.0,1.0,0.0,8.649623978596727,1,1,0
196,LP001666,1.0,0,0,1,0,5.231108616854587,360.0,1.0,1.0,9.399554785027307,2,0,0
197,LP001669,0.0,0,0,0,0,4.787491742782046,360.0,1.0,1.0,8.35983738064003,1,0,1
198,LP001671,0.0,1,0,1,0,4.727387818712341,360.0,0.7,1.0,8.737452587550584,1,1,0
199,LP001673,1.0,0,0,1,1,4.418840607796598,360.0,1.0,0.0,9.305650551780507,2,0,1
200,LP001674,1.0,1,1,0,0,4.499809670330265,360.0,1.0,1.0,8.536995818712418,1,1,0
201,LP001677,1.0,0,2,1,0,5.111987788356544,360.0,0.0,1.0,8.5016733797582,1,1,0
202,LP001682,1.0,1,3,0,0,4.844187086458591,180.0,1.0,0.0,8.292047637431354,1,0,1
203,LP001688,1.0,1,1,0,0,4.90527477843843,360.0,1.0,1.0,8.430109084509125,1,0,1
